ID Comet,NÚMERO de Estación,NOMBRE,DIRECCIÓN,BARRIO,COMUNA,EMPLAZAMIENTO,LATITUD,LONGITUD
207,123,BASUALDO Y RODO,Guardia Nacional 1645,MATADEROS,COMUNA 9,CALZADA,-346.523,-584.874
208,145,RAVIGNANI,Emilio Ravignani 1802,PALERMO,COMUNA 14,CALZADA,-3.458.071,-5.843.840
210,335,GENERAL URQUIZA,Av. Pres. Figueroa Alcorta 3899,PALERMO,COMUNA 14,PLAZA,-345.714,-584.119
212,129,VELASCO,Juan Ramirez de Velasco 285,VILLA CRESPO,COMUNA 15,CALZADA,-346.002,-584.349
213,136,ACEVEDO,Acevedo 220,VILLA CRESPO,COMUNA 15,CALZADA,-345.996,-584.426
215,113,GUATEMALA,Guatemala 4773,PALERMO,COMUNA 14,CALZADA,-345.858,-584.251
216,59,CORONEL DÍAZ,Güemes 3328,PALERMO,COMUNA 14,CALZADA,-345.902,-584.115
219,140,LAS CASAS,Metán 3661,BOEDO,COMUNA 5,CALZADA,-346.351,-584.158
220,97,AVELINO DÍAZ,Doblas 1589,PARQUE CHACABUCO,COMUNA 7,CALZADA,-346.353,-584.275
222,160,GODOY CRUZ Y LIBERTADOR,Av. Cerviño 4301,PALERMO,COMUNA 14,VEREDA,-345.759,-584.185
223,178,JÓSE MÁRMOL,José Marmol 803,BOEDO,COMUNA 5,CALZADA,-346.235,-584.249
227,188,ARANGUREN,Dr. Juan Felipe Aranguren 131,CABALLITO,COMUNA 6,CALZADA,-346.103.607.513.338,-58.432.762.970.544.700
228,10,MADERO UCA,Av. Alicia Moreau De Justo 1600,PUERTO MADERO,COMUNA 1,VEREDA,-34.616.337,-58.365.773
229,243,PLAZOLETA CELEDONIO FLORES,Cordoba 6599,CHACARITA,COMUNA 15,PLAZOLETA,-345.817,-584.515
230,259,PLAZA CASTELLI,Echeverria 3249,BELGRANO,COMUNA 13,PLAZA CERRADA,-345.679,-584.641
231,384,PLAZA BENITO NAZAR,Valentin Virasoro 1349,VILLA CRESPO,COMUNA 15,PLAZA,-346.051.178.734.071,-5.844.599.958.909.250
232,252,TAMBORINI,Jose Pascual Tamborini 3821,COGHLAN,COMUNA 12,CALZADA,-34.56,-58.479
234,344,UNIVERSIDAD DI TELLA,Figueroa Alcorta 7350,BELGRANO,COMUNA 13,VEREDA,-345.472.856,-584.466.568
235,281,VILLA URQUIZA,Av. Triunvirato 4800,VILLA URQUIZA,COMUNA 12,VEREDA,-345.737.343.092.291,-58.486.924.092.765.200
236,254,PLAZA RAFAEL HERNÁNDEZ,Vuelta De Obligado 2004,BELGRANO,COMUNA 13,PLAZA,-345.623,-58.455
237,302,ESTACION VILLA LURO,Virgilio 90,VILLA LURO,COMUNA 10,VEREDA,-346.370,-585.011
239,391,PLAZA REPUBLICA DE ECUADOR,Av. Pres.Figueroa Alcorta  5201,PALERMO,COMUNA 14,VEREDA,-34.565.336.526.556.800,-58.420.620.761.500.100
241,348,VILLA DEL PARQUE,Pedro Lozano 3127,VILLA DEL PARQUE,COMUNA 11,PLAZOLETA,-346.009,-584.945
242,103,MALBA,Av. Pres. Figueroa Alcorta 3451,PALERMO,COMUNA 14,VEREDA,-345.772,-584.032
245,248,HÚSARES,Husares 2201,BELGRANO,COMUNA 13,CALZADA,-345.524,-58.443
247,282,TRONADOR,Guevara 1615,VILLA ORTUZAR,COMUNA 15,PLAZOLETA,-345.841,-584.663
248,346,PLAZA ZAPIOLA,Donado 2001,VILLA URQUIZA,COMUNA 12,PLAZA,-345.737,-584.743
251,388,PLAZA JOSE C PAZ,Dr. Prof. Pedro Chutro 2881,PARQUE PATRICIOS,COMUNA 4,CALZADA,-3.464.177.963.405.170,-5.840.254.647.691.810
252,331,CALIFORNIA,California 1774,BARRACAS,COMUNA 4,VEREDA,-346.471,-583.743
253,383,BOEDO Y VENEZUELA,Av. Boedo 339,ALMAGRO,COMUNA 5,VEREDA,-34.616.968,-58.416.822
254,276,PRIMERA JUNTA,Av. Rivadavia 5414,CABALLITO,COMUNA 6,VEREDA,-34.620.879,-58.441.517
255,374,PUAN,Yerbal 1290,CABALLITO,COMUNA 6,CALZADA,-346.221,-584.485
257,264,PLAZA MARCO SASTRE,Miller 2511,VILLA URQUIZA,COMUNA 12,PLAZA,-345.711,-584.809
258,336,LA PAMPA,La Pampa 2520,BELGRANO,COMUNA 13,CALZADA,-345.655,-584.554
259,290,CLUB EXCURSIONISTAS,Migueletes 1782,BELGRANO,COMUNA 13,CALZADA,-34.559.067,-58.444.122
260,371,PASEO DE LAS AMERICAS,Av. Pres.Figueroa Alcorta  6400,BELGRANO,COMUNA 13,PARQUE,-3.455.307.941.090.300,-5.843.522.348.866.200
261,272,PLAZA BRUNO GIORDANO,Bruno Giordano 727,CABALLITO,COMUNA 6,PLAZA,-346.159,-584.406
262,349,PLAZA SAENZ PEÑA,Andrés Lamas 1701,VILLA GENERAL MITRE,COMUNA 11,PLAZA,-34.609.693.723.669.000,-5.846.722.118.485.500
263,270,PLAZA DEL ANGEL GRIS,Calcena 380,FLORES,COMUNA 7,PLAZA,-346.218,-584.577
264,283,BALBIN II,Crisólogo Larralde 3811,SAAVEDRA,COMUNA 12,VEREDA,-34.555.906.184.137.900,-58.480.964.329.037.900
265,361,PLAZA DON SEGUNDO SOMBRA,Santander 2347,FLORES,COMUNA 7,VEREDA,-3.464.195.021.386.390,-5.845.052.006.658.480
267,315,BEIRO Y SAN MARTIN,Av. Francisco Beiro 3209,VILLA DEVOTO,COMUNA 11,VEREDA,-345.976,-584.985
268,399,GARCIA DEL RIO,Av. García del Río 3182,SAAVEDRA,COMUNA 12,PLAZA,-345.503,-58.477
269,260,SAN MIGUEL DE GARICOITS,Virrey Loreto 3418,COLEGIALES,COMUNA 13,PLAZA,-345.772,-584.576
270,370,BEAUCHEF,Beauchef 1995,PARQUE CHACABUCO,COMUNA 7,CALZADA,-346.401,-584.302
271,365,VENANCIO FLORES,Gral. Venancio Flores 3181,FLORESTA,COMUNA 10,VEREDA,-346.301,-584.743
273,223,GAINZA,Gral. Martín de Gainza 494,CABALLITO,COMUNA 6,CALZADA,-346.168,-584.467
275,256,PLAZA NORUEGA,Amenabar 2170,BELGRANO,COMUNA 13,PLAZA,-345.623,-584.592
277,292,PLAZA BOLIVIA,Av. Del Libertador 4976,PALERMO,COMUNA 14,VEREDA,-345.636,-584.366
278,233,MONROE,Superi 2519,COGHLAN,COMUNA 12,CALZADA,-345.641,-584.697
280,222,SIMON BOLIVAR,Baldomero Fernandez Moreno 1701,PARQUE CHACABUCO,COMUNA 7,CALZADA,-346.336,-584.501
281,350,PLAZA IRLANDA,Av. Gaona 2200,CABALLITO,COMUNA 6,PLAZA,-346.136,-584.585
284,229,RIGLOS,Riglos 1037,PARQUE CHACABUCO,COMUNA 7,CALZADA,-346.311,-58.435
289,255,BARRANCAS DE BELGRANO,Av. Virrey Vertiz 1909,BELGRANO,COMUNA 13,PLAZA,-345.599,-584.482
291,244,UADE,Lima 750,MONSERRAT,COMUNA 1,VEREDA,-34.617,-583.815
299,221,CULPINA,Culpina 121,FLORES,COMUNA 7,CALZADA,-346.316,-584.662
301,309,UTN II,Mozart 2391,VILLA LUGANO,COMUNA 10,VEREDA,-346.606,-584.675
302,340,PLAZA NUEVA POMPEYA,Traful 3800,NUEVA POMPEYA,COMUNA 4,PLAZA,-346.517,-584.141
304,395,AGRONOMIA II,Av. Francisco Beiró 2120,AGRONOMIA,COMUNA 15,VEREDA,-345.891,-584.847
307,341,COMUNA 4,Av. Perito Moreno 2881,NUEVA POMPEYA,COMUNA 4,VEREDA,-346.500,-584.248
308,251,SOLAR DE LA ABADÍA,Maure 1819,PALERMO,COMUNA 14,VEREDA,-345.677,-584.369
309,298,PLAZA DR. JUAN B. TERAN,Nogoya 5539,VILLA REAL,COMUNA 10,VEREDA,-346.217,-585.199
310,356,ESTACION LUGANO,Martiniano Leguizamón 4401,VILLA LUGANO,COMUNA 8,CALZADA,-3.467.946.504.459.150,-5.847.423.242.843.680
311,213,HOSPITAL ALVEAR,Av. Warnes 2626,LA PATERNAL,COMUNA 15,VEREDA,-345.971,-584.758
316,205,SAN MARTIN,Cucha Cucha 1471,VILLA CRESPO,COMUNA 15,CALZADA,-346.057,-584.532
318,285,ESPINOSA,Espinosa 1785,VILLA CRESPO,COMUNA 15,CALZADA,-34.604,-584.572
322,289,MONTAÑESES,Montañeses 2786,BELGRANO,COMUNA 13,CALZADA,-345.514,-584.541
323,240,ECHEVERRIA,Vidal 1981,BELGRANO,COMUNA 13,CALZADA,-345.652,-584.594
324,280,JURAMENTO,Juramento 5209,VILLA URQUIZA,COMUNA 12,CALZADA,-34.579,-584.841
327,366,VILLA OLIMPICA,Escalada 4347,VILLA LUGANO,COMUNA 8,PLAZOLETA,-346.767,-584.543
329,100,PLAZA GURRUCHAGA,Gurruchaga 1078,VILLA CRESPO,COMUNA 15,CALZADA,-345.932,-584.353
330,148,LA PATERNAL,Punta Arenas 1798,LA PATERNAL,COMUNA 15,VEREDA,-34.600.832,-58.472.058
333,203,BEIRO,Av. Beiró 3572,VILLA DEVOTO,COMUNA 11,VEREDA,-346.007,-585.033
335,206,GALICIA,Galicia 2502,VILLA GENERAL MITRE,COMUNA 11,CALZADA,-346.158,-584.708
336,207,PLAZA ARENALES,Nueva York 3949,VILLA DEVOTO,COMUNA 11,VEREDA,-3.459.973.082.956.410,-5.851.114.585.857.780
340,359,PLAZA BALCARCE,Jaramillo 2324,NUÑEZ,COMUNA 13,CALZADA,-34.547.632,-58.467.946
342,218,CAMPANA,Campana 1523,VILLA SANTA RITA,COMUNA 11,CALZADA,-346.168,-584.843
348,231,MAGARIÑOS CERVANTES,Magariños Cervantes 2465,VILLA GENERAL MITRE,COMUNA 11,VEREDA,-346.105,-584.744
349,232,SUCRE Y MARTÍNEZ,Mcal. Antonio José de Sucre 3515,BELGRANO,COMUNA 13,CALZADA,-34.570.508,-58.466.323
353,237,MADERO OFFICE,Mariquita Sanchez De Thompson 367,PUERTO MADERO,COMUNA 1,CALZADA,-345.991,-583.643
355,242,PLAZOLETA RAFAEL DEL RIEGO,O` Higgins 1327,PALERMO,COMUNA 14,PLAZOLETA,-345.674,-584.464
358,249,BALBÍN,Conesa 2519,BELGRANO,COMUNA 13,CALZADA,-345.614,-584.656
359,250,FLENI,Montañeses 2292,BELGRANO,COMUNA 13,CALZADA,-345.556,-584.505
361,258,PLAZA J.J. PASO,Moldes 1399,COLEGIALES,COMUNA 13,CALZADA,-345.691,-584.537
362,262,HOLMBERG,Holmberg 2819,VILLA URQUIZA,COMUNA 12,VEREDA,-34.565.922,-58.479.912
363,354,JOSÉ MARTÍ,Av. Eva Perón 3321,FLORES,COMUNA 7,VEREDA,-346.441,-58.463
364,381,MATIENZO Y ARCE,Tte. Benjamín Matienzo 1998,PALERMO,COMUNA 14,VEREDA,-34.570.161,-58.435.580
366,360,PLAZA RAMON FALCON,Cnel. Ramón L. Falcón 3992,VELEZ SARSFIELD,COMUNA 10,PLAZA,-346.354,-584.827
367,287,BELAUSTEGUI,Dr. Luis Belaustegui 2910,VILLA SANTA RITA,COMUNA 11,VEREDA,-3.461.666,-5.847.771
368,378,AGRONOMIA,San Martin 4351,AGRONOMIA,COMUNA 15,VEREDA,-345.983,-584.817
369,304,NAVARRO,Navarro 2625,AGRONOMIA,COMUNA 15,CALZADA,-345.923,-584.919
370,305,PLAZA MARTIN RODRIGUEZ,Pareja 3016,VILLA PUEYRREDON,COMUNA 12,CALZADA,-34.591,-585.004
371,269,PLAZA DE LA MISERICORDIA,Lautaro 400,FLORES,COMUNA 7,CALZADA,-34.632.024,-58.455.436
372,322,MARTI Y DIRECTORIO,José Marti 404,FLORES,COMUNA 7,CALZADA,-346.365,-584.701
373,265,PLAZA EXODO JUJEÑO,Liverpool 2812,PARQUE CHAS,COMUNA 15,CALZADA,-345.826,-58.481
374,367,EVA PERON,Primera Junta 3898,PARQUE AVELLANEDA,COMUNA 9,VEREDA,-346.472,-584.698
375,301,ARREGUI Y TERRADA,Arregui 2792,VILLA DEL PARQUE,COMUNA 11,CALZADA,-346.049,-584.848
376,324,LAS VICTORIAS,Av. Gaona 4660,FLORESTA,COMUNA 10,PLAZA CERRADA,-34.627.116,-58.488.456
378,215,HOSPITAL ALVAREZ,Bolivia 683,FLORES,COMUNA 7,CALZADA,-346.231,-584.683
379,390,DE LOS OMBÚES,Av. de los Ombúes 300,PALERMO,COMUNA 14,PARQUE,-345.602,-584.281
381,274,GAVILÁN,Gavilán 1200,VILLA GENERAL MITRE,COMUNA 11,VEREDA,-34.616.059,-58.465.886
382,204,BIARRITZ,Biarritz 2403,VILLA DEL PARQUE,COMUNA 11,CALZADA,-346.055,-584.774
383,263,PLAZA ECHEVERRIA,Av. Triunvirato 5100,VILLA URQUIZA,COMUNA 12,PLAZA CERRADA,-34.571.997,-58.489.444
384,267,PLAZA 25 DE AGOSTO,Giribone 1436,VILLA ORTUZAR,COMUNA 15,PLAZOLETA,-345.798,-584.619
385,268,PLAZA ARISTOBULO DEL VALLE,Campana 2628,VILLA DEL PARQUE,COMUNA 11,CALZADA,-346.064,-584.932
386,277,COGHLAN,Estomba 2647,COGHLAN,COMUNA 12,VEREDA,-345.658,-584.755
387,278,DONATO ALVAREZ,Juan Agustin Garcia 1540,LA PATERNAL,COMUNA 15,CALZADA,-34.602,-584.656
392,297,TRONADOR Y GARCIA DEL RIO,Garcia del Rio 4119,SAAVEDRA,COMUNA 12,VEREDA,0,0
393,300,JOSE ARTIGAS,Av. Del Campo 1301,LA PATERNAL,COMUNA 15,VEREDA,-345.905,-584.669
395,303,HUAURA,Huaura 1405,VILLA CRESPO,COMUNA 15,VEREDA,-345.973,-584.532
400,313,DE LOS INCAS,Av. de los Incas 4138,VILLA ORTUZAR,COMUNA 15,VEREDA,-3.457.899,-5.846.982
403,316,BUENOS AIRES,Suárez 3150,BARRACAS,COMUNA 4,PLAZA,-34.644.761,-58.394.418
407,330,PARQUE AVELLANEDA,Remedios 3895,PARQUE AVELLANEDA,COMUNA 9,CALZADA,-346.423,-584.783
408,364,CERETTI Y MANUELA PEDRAZA,Ceretti 3407,VILLA URQUIZA,COMUNA 12,CALZADA,-345.691,-585.003
412,372,VILLA SOLDATI,Carlos María Ramírez 2510,VILLA SOLDATI,COMUNA 8,VEREDA,-34.660.321,-58.431.967
413,382,MERCADO DE HACIENDA MATADEROS,Av. Lisandro de la Torre 2319,MATADEROS,COMUNA 9,VEREDA,-34.661.673.491.982.100,-5.850.141.458.974.460
414,385,FRANKLIN,Franklin 1100,CABALLITO,COMUNA 6,CALZADA,-34.611.222,-58.450.137
416,257,PLAZA FRANCISCO RAMIREZ,Manuela Pedraza 2700,NUÑEZ,COMUNA 13,CALZADA,-345.533,-58.469
417,127,PLAZA LEONARDO N. ALEM,Cochrane 2407,VILLA PUEYRREDON,COMUNA 12,VEREDA,-345.764,-585.025
418,345,PLAZA MAFALDA,Conde 102,COLEGIALES,COMUNA 13,VEREDA,-345.809,-584.446
420,375,CIUDAD UNIVERSITARIA I,Intendente Güiraldes 2160,BELGRANO,COMUNA 13,VEREDA,-345.446,-584.396
422,379,PARQUE SARMIENTO II,Alfonsina Storni 3771,SAAVEDRA,COMUNA 12,CALZADA,-345.645,-585.029
423,43,PLAZA ALBERDI,Crisólito Larralde 4544,SAAVEDRA,COMUNA 12,CALZADA,-345.593,-584.876
424,387,LUNA,Luna 301,PARQUE PATRICIOS,COMUNA 4,PLAZA CERRADA,-34.639.913,-58.399.217
425,394,AV. LA PLATA,Av. La Plata 2400,NUEVA POMPEYA,COMUNA 4,VEREDA,-34.643.025,-58.422.804
426,396,PLAZA ALBERTI,Arcos 2665,BELGRANO,COMUNA 13,CALZADA,-34.555.175.319.362.500,-5.845.829.966.920.740
427,397,PARQUE SANTOJANNI,Acassuso 6373,LINIERS,COMUNA 9,VEREDA,-346.484,-585.136
428,225,HOSPITAL TORNÚ,Avalos 1052,PARQUE CHAS,COMUNA 15,CALZADA,-345.875,-584.741
429,201,PLAZA EJERCITO DE LOS ANDES,Albariño 40,VILLA LURO,COMUNA 10,VEREDA,-346.394,-585.099
431,362,PARQUE DE LA MEMORIA,Int. Güiraldes 2900,BELGRANO,COMUNA 13,VEREDA,-34.542.628,-58.436.913
432,187,JOSE MARIA MORENO,Jose Maria Moreno 141,CABALLITO,COMUNA 6,VEREDA,-346.198,-584.358
433,273,PLAZOLETA COLOMBIA,Brandsen 1619,BARRACAS,COMUNA 4,CALZADA,-346.377,-583.742
434,247,PLAZA LUCIO DEMARE,O`Higgins 3750,NUÑEZ,COMUNA 13,CALZADA,-345.458,-584.651
435,227,CLUB CIUDAD DE BUENOS AIRES,Miguel Sanchez 1477,NUÑEZ,COMUNA 13,VEREDA,-345.447,-584.598
436,253,PLAZA COLEGIALES,Tte. Benjamín Matienzo 2886,COLEGIALES,COMUNA 13,PLAZA,-34.576.349,-58.443.268
440,142,ARMENIA (EX ARMENIA Y GORRITI),Armenia 1525,PALERMO,COMUNA 14,CALZADA,-345.906,-584.289
441,16,LEGISLATURA,Peru 169,MONSERRAT,COMUNA 1,VEREDA,-34.61,-583.749
444,61,MINISTERIO DE ECONOMIA,Av. Hipolito Yrigoyen 250,MONSERRAT,COMUNA 1,VEREDA,-346.088,-583.708
448,393,BARRIO 31,Islas Galápagos 2800,RETIRO,COMUNA 1,VEREDA,-3.458.195.948.822.290,-5.837.879.992.249.480
449,352,SAN JOSE DE FLORES,Av. Rivadavia  6955,FLORES,COMUNA 7,PLAZA,-34.628.955,-58.463.123
453,28,PLAZA DE LA BANDERA,Av. Gaona 5181,VELEZ SARSFIELD,COMUNA 10,VEREDA,-346.295,-584.945
454,176,PLAZA DERECHOS DEL HOMBRE,Cortina 551,VILLA LURO,COMUNA 10,VEREDA,-346.341,-585.070
455,39,PLAZA DON BOSCO,Elpidio Gonzales 5181,VILLA LURO,COMUNA 10,CALZADA,-346.265,-585.080
457,110,PLAZA CD DE BANFF,Roma 786,VERSALLES,COMUNA 10,CALZADA,-346.281,-585.217
458,219,PARQUE CHACABUCO II,Av. Asamblea 1400,PARQUE CHACABUCO,COMUNA 7,VEREDA,-346.357,-584.412
459,327,PLAZA RICCHERI,Quevedo 3473,VILLA DEVOTO,COMUNA 11,VEREDA,-346.108,-585.192
460,133,BEIRO Y SEGUROLA,Segurola 3194,VILLA DEVOTO,COMUNA 11,CALZADA,-346.075,-585.119
461,106,MOSCONI Y CONSTITUYENTES,Av. Constituyentes 4710,VILLA PUEYRREDON,COMUNA 12,VEREDA,-345.810,-584.938
464,377,CIUDAD UNIVERSITARIA III,Intendente Güiraldes 2160,BELGRANO,COMUNA 13,VEREDA,-34.541,-584.441
465,192,HOSPITAL SIRIO,Gabriela Mistral 3325,VILLA DEVOTO,COMUNA 11,VEREDA,-345.905,-585.070
